1;confia@email.com;aw;MOBILEMEMBER
2;foguetentemre@forget.com;agws;HEAVYLIFTER
3;blablabla@teste.com;wga;SCRIPTGUY
4;bigbig@grandao.com;ag;BIGBROTHER
5;confia@email.com;seg;MOBILEMEMBER
6;foguetentemre@forget.com;seg;HEAVYLIFTER
7;blablabla@teste.com;ge;SCRIPTGUY
8;bigbig@grandao.com;aseg;BIGBROTHER
1;confia@email.com;westyg;MOBILEMEMBER
2;foguetentemre@forget.com;seg;HEAVYLIFTER
3;blablabla@teste.com;sh;SCRIPTGUY
4;bigbig@grandao.com;sher;BIGBROTHER
5;confia@email.com;drh;MOBILEMEMBER
6;foguetentemre@forget.com;sdrh;HEAVYLIFTER
7;blablabla@teste.com;rhd;SCRIPTGUY
8;bigbig@grandao.com;dhr;BIGBROTHER
